                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                  1.364,                 1.0114,                 1.5921,                0.64483,                0.64583,                0.64884,                0.34543,                 1.4919,                0.94641,                  1.728,             0.00034206,             0.00034206,             0.00034206
                     65,                 1.3466,                 0.9983,                 1.5939,                0.59973,                0.66079,                0.64306,                 0.3406,                 1.4855,                0.96204,                 1.7127,             0.00033306,             0.00033306,             0.00033306
                     66,                 1.3483,                0.97666,                 1.5774,                0.60131,                0.67674,                0.65844,                0.34635,                 1.5021,                0.93604,                 1.7164,             0.00032406,             0.00032406,             0.00032406
                     67,                 1.3363,                0.96928,                 1.5619,                0.63467,                0.63324,                0.65453,                0.34632,                 1.4898,                0.95374,                 1.7222,             0.00031506,             0.00031506,             0.00031506
                     68,                  1.364,                0.97857,                 1.5809,                  0.625,                0.66688,                0.66069,                0.35243,                 1.4827,                 0.9327,                 1.7149,             0.00030606,             0.00030606,             0.00030606
                     69,                 1.3381,                0.96914,                  1.564,                0.62964,                0.64868,                0.65685,                0.35207,                 1.4699,                0.93411,                 1.7124,             0.00029706,             0.00029706,             0.00029706
                     70,                 1.3376,                0.98204,                 1.5698,                0.60814,                 0.6629,                0.65537,                0.35277,                 1.4765,                0.94304,                 1.7103,             0.00028806,             0.00028806,             0.00028806
                     71,                 1.3352,                0.95341,                 1.5688,                0.63053,                0.64349,                 0.6539,                0.34543,                 1.4821,                0.95283,                 1.7084,             0.00027906,             0.00027906,             0.00027906
                     72,                 1.3294,                0.95917,                 1.5584,                0.64631,                0.64516,                0.65002,                0.35114,                 1.4684,                 0.9433,                 1.7064,             0.00027006,             0.00027006,             0.00027006
                     73,                 1.3234,                0.96463,                  1.563,                0.61465,                0.64626,                0.65503,                0.35019,                 1.4797,                0.93697,                 1.7175,             0.00026106,             0.00026106,             0.00026106
                     74,                 1.3099,                0.93346,                 1.5443,                0.63686,                0.64214,                 0.6648,                0.35375,                 1.4813,                0.93252,                 1.7108,             0.00025207,             0.00025207,             0.00025207
                     75,                 1.3418,                0.95966,                 1.5619,                 0.6346,                0.64307,                0.66846,                0.35682,                 1.4833,                0.93772,                 1.7088,             0.00024307,             0.00024307,             0.00024307
                     76,                 1.3047,                0.92585,                 1.5393,                0.64589,                0.64511,                0.66592,                0.35505,                 1.4832,                0.92321,                 1.7123,             0.00023407,             0.00023407,             0.00023407
                     77,                 1.3067,                0.93741,                 1.5398,                0.66537,                0.65931,                0.67006,                 0.3587,                 1.4737,                0.91724,                 1.7026,             0.00022507,             0.00022507,             0.00022507
                     78,                  1.301,                 0.9235,                 1.5434,                0.65189,                0.66159,                0.66695,                0.35765,                 1.4818,                0.91383,                 1.7085,             0.00021607,             0.00021607,             0.00021607
                     79,                 1.2936,                0.92483,                 1.5334,                0.66351,                0.63988,                0.66742,                0.35821,                 1.4827,                0.91972,                 1.7133,             0.00020707,             0.00020707,             0.00020707
                     80,                 1.3078,                0.93597,                 1.5324,                0.66816,                0.64338,                0.66573,                0.35642,                 1.4823,                0.92075,                 1.7055,             0.00019807,             0.00019807,             0.00019807
                     81,                  1.288,                0.91665,                 1.5249,                0.62792,                0.66404,                0.66286,                0.35347,                 1.4846,                0.92561,                 1.7121,             0.00018907,             0.00018907,             0.00018907
                     82,                 1.2911,                0.90802,                 1.5286,                0.64501,                0.65728,                0.67208,                 0.3594,                 1.4772,                0.90379,                 1.7062,             0.00018007,             0.00018007,             0.00018007
                     83,                  1.299,                0.91604,                 1.5402,                0.64439,                 0.6391,                 0.6654,                0.35719,                 1.4813,                0.91044,                 1.7101,             0.00017107,             0.00017107,             0.00017107
                     84,                 1.2922,                0.92623,                 1.5388,                0.64891,                0.66335,                0.66965,                 0.3608,                 1.4738,                0.89506,                 1.7024,             0.00016207,             0.00016207,             0.00016207
                     85,                 1.2722,                0.89494,                 1.5144,                0.67146,                0.65337,                0.67442,                0.36274,                 1.4743,                0.89444,                 1.7071,             0.00015308,             0.00015308,             0.00015308
                     86,                 1.2811,                0.90128,                 1.5138,                0.65361,                0.66613,                0.67238,                0.36094,                 1.4791,                0.89718,                 1.7087,             0.00014408,             0.00014408,             0.00014408
                     87,                 1.2761,                0.89758,                 1.5201,                0.66076,                0.64221,                0.66803,                0.36133,                 1.4775,                0.89118,                  1.707,             0.00013508,             0.00013508,             0.00013508
